

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11:30:43.270     NETWORK                                                                                                                                 Packet 101 send!                                  
11:30:43.272     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:30:43.289     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:30:43.367     CLSocket::coReceive                                                                                                                     State of socket is:
Bound:true
Closed: false
Connected: true
Local Port: 5555
Remote Port:56586
11:30:43.407     CLSocket::receive                                                                                                                       Finished receiving at:5555                        
11:30:43.409     AbstractConnection                                                                                                                      Received an internal packet in doReceive          
11:30:43.411     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:30:43.419     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:30:43.421     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:30:46.213     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:30:46.216     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:30:46.219     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:30:49.16      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:30:49.20      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:30:49.23      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:30:51.820     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:30:51.828     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:30:51.831     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:30:54.622     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:30:54.626     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:30:54.628     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:30:57.424     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:30:57.428     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:30:57.430     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
