

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
22:42:2.683      NETWORK                                                                                                                                 Packet 6105 send!                                 
22:42:2.685      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.688      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.693      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.697      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.699      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.701      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.705      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.711      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.713      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.716      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.718      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.720      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.723      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.724      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.725      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.727      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.728      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.729      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.732      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.733      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.734      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.739      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.740      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.741      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.743      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.744      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.745      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.751      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.762      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.765      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
